Connecting to 45.63.82.34:1883 …

Listening for 15 minutes … (Ctrl-C to stop early)

[connect] rc=0 — OK
  ✓ Subscribed: KTBMES/TWIX/sensors/house_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_pressure_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/unknown_other_sensors/#
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_63488  →  {"device_id": "63488", "device_name": "UNKNOWN_DEVICE_63488", "protocol_id": "-1
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_97e542a2  →  {"device_id": "97e542a2", "device_name": "UNKNOWN_DEVICE_97e542a2", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_d1c69df3  →  {"device_id": "d1c69df3", "device_name": "UNKNOWN_DEVICE_d1c69df3", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_18971a2c  →  {"device_id": "18971a2c", "device_name": "UNKNOWN_DEVICE_18971a2c", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_18971a22  →  {"device_id": "18971a22", "device_name": "UNKNOWN_DEVICE_18971a22", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_97aaa145  →  {"device_id": "97aaa145", "device_name": "UNKNOWN_DEVICE_97aaa145", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_242  →  {"device_id": "242", "device_name": "UNKNOWN_DEVICE_242", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_237  →  {"device_id": "237", "device_name": "UNKNOWN_DEVICE_237", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_9  →  {"device_id": "9", "device_name": "UNKNOWN_DEVICE_9", "protocol_id": "-1", "prot
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_0b221a  →  {"device_id": "0b221a", "device_name": "UNKNOWN_DEVICE_0b221a", "protocol_id": "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_0FD5E41  →  {"device_id": "0FD5E41", "device_name": "UNKNOWN_DEVICE_0FD5E41", "protocol_id":
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_6cc5321a  →  {"device_id": "6cc5321a", "device_name": "UNKNOWN_DEVICE_6cc5321a", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_211  →  {"device_id": "211", "device_name": "UNKNOWN_DEVICE_211", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_195  →  {"device_id": "195", "device_name": "UNKNOWN_DEVICE_195", "protocol_id": "-1", "
